experiment,scenario,rotation,quantity,annual_or_stock_mean_mg,realization_mean_q025_mg,realization_mean_q975_mg,rotation_flow_total_mean_mg
legacy_unbounded_conservative,conservative,3,harvest,367.88421541661023,0.0,568.3797349651654,8829.221169998646
legacy_unbounded_conservative,conservative,3,charcoal,84.60157048213827,0.0,132.77414568613833,2030.4376915713176
legacy_bounded_conservative,conservative,1,standing_biomass,22456.101532319422,1649.1870952937752,31164.869671694436,
legacy_bounded_conservative,conservative,1,harvest,332.962128376464,10.1375000278155,462.82407256712514,7991.091081035137
legacy_bounded_conservative,conservative,1,charcoal,76.74354255942728,2.4727524810534307,107.5897789824708,1841.8450214262548
legacy_bounded_conservative,conservative,2,standing_biomass,23591.467896595812,1242.401354489817,34102.18087893178,
legacy_bounded_conservative,conservative,2,harvest,348.0405061868826,0.0,516.2063235968351,8352.972148485183
legacy_bounded_conservative,conservative,2,charcoal,79.51792314981546,0.0,120.0544491688939,1908.4301555955715
legacy_bounded_conservative,conservative,3,standing_biomass,24671.742447656114,1242.4012136936187,37435.95849117289,
legacy_bounded_conservative,conservative,3,harvest,367.88421541661023,0.0,568.3797349651654,8829.221169998646
legacy_bounded_conservative,conservative,3,charcoal,84.60157048213827,0.0,132.77414568613833,2030.4376915713176
corrected_bounded_conservative,conservative,1,standing_biomass,22270.809878271,18322.869477581047,27383.771784067707,
corrected_bounded_conservative,conservative,1,harvest,356.0673881252606,295.9581431207557,425.50168114329375,8545.617315006257
corrected_bounded_conservative,conservative,1,charcoal,82.0801386147072,67.93295031558104,98.03592128887671,1969.9233267529721
corrected_bounded_conservative,conservative,2,standing_biomass,23291.790747650397,18452.98713026649,28971.49479411393,
corrected_bounded_conservative,conservative,2,harvest,381.1072441226243,284.5711746079226,465.9800190513333,9146.573858942986
corrected_bounded_conservative,conservative,2,charcoal,87.11637124454565,64.71118814173013,106.23157409770731,2090.792909869095
corrected_bounded_conservative,conservative,3,standing_biomass,23297.57610954605,18376.88515363112,28972.604408636438,
corrected_bounded_conservative,conservative,3,harvest,381.2205927300453,279.50761903946596,465.9869552671909,9149.294225521087
corrected_bounded_conservative,conservative,3,charcoal,87.57380966418205,65.06189916160761,105.97278739942894,2101.771431940369
legacy_unbounded_intensive,intensive,1,standing_biomass,3478.1398625367688,740.2509377698065,12315.54517304267,
legacy_unbounded_intensive,intensive,1,harvest,207.7103263276564,50.07232976348217,743.6535822518168,4985.047831863754
legacy_unbounded_intensive,intensive,1,charcoal,37.73317204501093,8.013966896406352,134.91991232263118,905.5961290802624
legacy_unbounded_intensive,intensive,2,standing_biomass,1518.7898295616624,738.2876159489,4591.711338966632,
legacy_unbounded_intensive,intensive,2,harvest,42.226897694487896,3.12737718280989,158.00972453163268,1013.4455446677097
legacy_unbounded_intensive,intensive,2,charcoal,7.634202866381222,0.5062695230555607,28.58325559645498,183.22086879314932
legacy_unbounded_intensive,intensive,3,standing_biomass,1519.011163167539,738.3945306184081,4650.869854782572,
legacy_unbounded_intensive,intensive,3,harvest,40.230583964061,0.0010401463860103086,123.6884396996348,965.534015137464
legacy_unbounded_intensive,intensive,3,charcoal,7.261654614541166,0.0001913613906760232,23.312761718366158,174.27971074898795
legacy_bounded_intensive,intensive,1,standing_biomass,3925.70282785481,780.9828289737848,12807.207419786166,
legacy_bounded_intensive,intensive,1,harvest,234.32935912506656,52.69116212714774,792.5745701730245,5623.904619001597
legacy_bounded_intensive,intensive,1,charcoal,42.6800004853238,8.572500266767639,141.67541307604085,1024.320011647771
legacy_bounded_intensive,intensive,2,standing_biomass,1618.1105526665729,744.2120560515517,4595.906400383111,
legacy_bounded_intensive,intensive,2,harvest,43.63292300304088,0.0,158.00972453163268,1047.190152072981
legacy_bounded_intensive,intensive,2,charcoal,7.892301147188004,0.0,28.58325559645498,189.41522753251203
legacy_bounded_intensive,intensive,3,standing_biomass,1626.792371252379,744.3177732187944,4979.776484468579,
legacy_bounded_intensive,intensive,3,harvest,41.622981182792536,0.0,123.6884396996348,998.951548387021
legacy_bounded_intensive,intensive,3,charcoal,7.517671856528271,0.0,23.312761718366158,180.42412455667852
corrected_bounded_intensive,intensive,1,standing_biomass,10964.106115844956,9944.124769205086,13068.486989296462,
corrected_bounded_intensive,intensive,1,harvest,663.8059929242979,609.4855742491161,753.9961722724139,15931.343830183148
corrected_bounded_intensive,intensive,1,charcoal,121.5853018779227,105.49560480003855,145.40982121505334,2918.0472450701436
corrected_bounded_intensive,intensive,2,standing_biomass,4159.996364702806,2902.527397700262,9097.187624552267,
corrected_bounded_intensive,intensive,2,harvest,119.8631432329615,6.606484947819263,627.0030696074163,2876.715437591076
corrected_bounded_intensive,intensive,2,charcoal,21.501719911395067,1.1840961273554254,111.94001835337845,516.0412778734816
corrected_bounded_intensive,intensive,3,standing_biomass,3822.179258401206,2854.6375108604034,8859.139344111358,
corrected_bounded_intensive,intensive,3,harvest,68.95429615942584,0.07157415143160506,612.1230495631687,1654.9031078262199
corrected_bounded_intensive,intensive,3,charcoal,12.64473570120801,0.012541821621667688,119.90310504694247,303.47365682899226
corrected_management_only_conservative,conservative,1,standing_biomass,19149.680020210522,15242.06251622153,23857.487591992496,
corrected_management_only_conservative,conservative,1,harvest,315.49026379793884,263.69737017701067,380.17877154648295,7571.766331150532
corrected_management_only_conservative,conservative,1,charcoal,61.457890754129,49.957060340551266,74.61729099876617,1474.9893780990951
corrected_management_only_conservative,conservative,2,standing_biomass,19517.707411074884,14391.437596250575,25337.326112077873,
corrected_management_only_conservative,conservative,2,harvest,293.5922856617967,5.093825462212165,418.0965688044826,7046.214855883121
corrected_management_only_conservative,conservative,2,charcoal,56.21725897772417,0.9606774433612087,79.90387606320193,1349.2142154653802
corrected_management_only_conservative,conservative,3,standing_biomass,19609.3125654903,15342.323258583496,25344.01042715596,
corrected_management_only_conservative,conservative,3,harvest,298.86105124294755,1.7953442287941772,418.4493911971648,7172.665229830742
corrected_management_only_conservative,conservative,3,charcoal,57.902374985884855,0.4145401492001745,81.77863633434123,1389.6569996612368
corrected_management_only_intensive,intensive,1,standing_biomass,12929.719280016361,10441.20709603914,16148.052844142496,
corrected_management_only_intensive,intensive,1,harvest,746.5821181268989,636.9904691470166,897.3175861438115,17917.970835045577
corrected_management_only_intensive,intensive,1,charcoal,145.541634770606,118.93040074921157,178.33066207321215,3492.999234494544
corrected_management_only_intensive,intensive,2,standing_biomass,7295.773258299732,3450.160813845314,14528.205226985594,
corrected_management_only_intensive,intensive,2,harvest,405.39624863938695,11.316043025094162,839.9009251758453,9729.509967345288
corrected_management_only_intensive,intensive,2,charcoal,77.95739035802886,2.2352669168245334,164.53851394400587,1870.9773685926928
corrected_management_only_intensive,intensive,3,standing_biomass,6807.202336639345,3324.0144523148797,14510.100506536535,
corrected_management_only_intensive,intensive,3,harvest,342.6429303190811,0.20108835370674571,840.5378669401007,8223.430327657943
corrected_management_only_intensive,intensive,3,charcoal,66.71256507064005,0.039312204052694366,171.03541621488924,1601.1015616953612
corrected_no_harvest,no_harvest,1,standing_biomass,21753.758752298858,18425.110449859065,26311.38426690325,
corrected_no_harvest,no_harvest,1,harvest,0.0,0.0,0.0,0.0
corrected_no_harvest,no_harvest,1,charcoal,0.0,0.0,0.0,0.0
corrected_no_harvest,no_harvest,2,standing_biomass,23355.31845107833,18791.032722799977,28025.28428305785,
corrected_no_harvest,no_harvest,2,harvest,0.0,0.0,0.0,0.0
corrected_no_harvest,no_harvest,2,charcoal,0.0,0.0,0.0,0.0
corrected_no_harvest,no_harvest,3,standing_biomass,23536.814472932518,18791.107831509413,28271.800322334962,
corrected_no_harvest,no_harvest,3,harvest,0.0,0.0,0.0,0.0
corrected_no_harvest,no_harvest,3,charcoal,0.0,0.0,0.0,0.0
