experiment,rotation,quantity,realizations,mean,q025,q975,monte_carlo_standard_error
corrected_bounded_reference,1,standing_biomass,1000,16918.187255354344,12676.380938088816,21395.24515329022,70.48768159101984
corrected_bounded_reference,1,harvest,1000,547.8037213853896,459.41630312322326,651.4037672096242,1.4844491320993303
corrected_bounded_reference,1,charcoal,1000,106.12993618221604,87.25152003971256,127.68199640851066,0.32867165207244825
corrected_bounded_reference,2,standing_biomass,1000,15569.462032740334,8542.953275482249,21917.808056077298,113.76150567543546
corrected_bounded_reference,2,harvest,1000,484.79475944625835,13.475937076161314,695.31698453178,5.06246164447631
corrected_bounded_reference,2,charcoal,1000,93.77097528326684,2.746808132157642,135.59459772525233,0.9910108787562866
corrected_bounded_reference,3,standing_biomass,1000,15397.612384130589,8618.660098664252,21924.052021862193,118.40995026746259
corrected_bounded_reference,3,harvest,1000,465.61695691770814,2.4486079445108775,697.2005842695633,5.919719232536507
corrected_bounded_reference,3,charcoal,1000,90.35969065838749,0.48265523327803583,137.78961163236127,1.1610803942637657
corrected_management_only_conservative,1,standing_biomass,1000,19347.204937178678,15207.367353171607,23640.55369318823,67.40064133011008
corrected_management_only_conservative,1,harvest,1000,317.82834822136164,263.30098833342396,378.5744911633432,0.8860466113155883
corrected_management_only_conservative,1,charcoal,1000,61.55047581143543,50.139253379655216,74.6146563977761,0.19809016308382876
corrected_management_only_conservative,2,standing_biomass,1000,19751.156398209467,14460.033548558378,25180.902040136854,83.87149196145472
corrected_management_only_conservative,2,harvest,1000,299.79718895356854,5.316199297457934,416.8057030121485,3.1756139737213673
corrected_management_only_conservative,2,charcoal,1000,57.991485409564646,0.9525126559107772,81.19603199680661,0.6231157465950511
corrected_management_only_conservative,3,standing_biomass,1000,19805.997208788023,14951.63192387155,25194.195292924218,81.26287902110462
corrected_management_only_conservative,3,harvest,1000,307.2600537584027,3.5303611020247154,416.9167596911391,2.6555664709392675
corrected_management_only_conservative,3,charcoal,1000,59.644691629578546,0.5504085162777878,82.40450924761625,0.5265143022471478
corrected_management_only_intensive,1,standing_biomass,1000,13092.178300827734,10332.365817309541,16623.61114092978,51.89446198432751
corrected_management_only_intensive,1,harvest,1000,751.5786672587866,631.1750926772132,893.6633312044044,2.038542731847361
corrected_management_only_intensive,1,charcoal,1000,145.67097866048886,119.8512611528581,175.6988588426718,0.4522454334333891
corrected_management_only_intensive,2,standing_biomass,1000,7596.9210822353725,3289.810091763846,14592.061744305947,103.98182342276019
corrected_management_only_intensive,2,harvest,1000,430.53337611136675,14.332358595067248,878.2194903781017,8.846461687080446
corrected_management_only_intensive,2,charcoal,1000,83.22527792964414,2.798894482332951,172.9030339771225,1.7145085251392775
corrected_management_only_intensive,3,standing_biomass,1000,7113.927027208861,3169.40405690208,14580.511884463662,109.96450032415433
corrected_management_only_intensive,3,harvest,1000,369.59545071176603,0.31590867172944853,878.8979044844707,9.83061567287057
corrected_management_only_intensive,3,charcoal,1000,71.82056688427306,0.06174382350299868,176.1427943247534,1.9184361526650833
corrected_no_harvest,1,standing_biomass,1000,21902.902987246573,18235.223269616254,26187.371248492724,61.87754152022862
corrected_no_harvest,1,harvest,1000,0.0,0.0,0.0,0.0
corrected_no_harvest,1,charcoal,1000,0.0,0.0,0.0,0.0
corrected_no_harvest,2,standing_biomass,1000,23430.407868022412,18909.1506407169,28235.57599470963,75.21713364933434
corrected_no_harvest,2,harvest,1000,0.0,0.0,0.0,0.0
corrected_no_harvest,2,charcoal,1000,0.0,0.0,0.0,0.0
corrected_no_harvest,3,standing_biomass,1000,23566.366118835533,19054.527518223473,28362.435092123847,75.05760910915765
corrected_no_harvest,3,harvest,1000,0.0,0.0,0.0,0.0
corrected_no_harvest,3,charcoal,1000,0.0,0.0,0.0,0.0
supplied_baseline,1,standing_biomass,2,16574.5041206864,16574.5041206864,16574.5041206864,0.0
supplied_baseline,1,harvest,2,537.5714848140875,537.5714848140875,537.5714848140875,0.0
supplied_baseline,1,charcoal,2,107.51429696281751,107.51429696281751,107.51429696281751,0.0
supplied_baseline,2,standing_biomass,2,15549.186850393811,15549.186850393811,15549.186850393811,0.0
supplied_baseline,2,harvest,2,531.5678734183311,531.5678734183311,531.5678734183311,0.0
supplied_baseline,2,charcoal,2,106.31357468366622,106.31357468366622,106.31357468366622,0.0
